Var1,var2
SPREAD_lag9,UNRATE_lag7
SPREAD_lag9,UNRATE_lag8
SPREAD_lag9,UNRATE_lag9
SPREAD_lag9,UNRATE_lag10
SPREAD_lag10,UNRATE_lag1
SPREAD_lag10,UNRATE_lag2
SPREAD_lag10,UNRATE_lag3
SPREAD_lag10,UNRATE_lag4
SPREAD_lag10,UNRATE_lag5
SPREAD_lag10,UNRATE_lag6
SPREAD_lag10,UNRATE_lag7
SPREAD_lag10,UNRATE_lag8
SPREAD_lag10,UNRATE_lag9
SPREAD_lag10,UNRATE_lag10
BILL_lag1,UNRATE_lag1
BILL_lag1,UNRATE_lag2
BILL_lag1,UNRATE_lag3
BILL_lag1,UNRATE_lag4
BILL_lag1,UNRATE_lag5
BILL_lag1,UNRATE_lag6
BILL_lag1,UNRATE_lag7
BILL_lag1,UNRATE_lag8
BILL_lag1,UNRATE_lag9
BILL_lag1,UNRATE_lag10
BILL_lag2,UNRATE_lag1
BILL_lag2,UNRATE_lag2
BILL_lag2,UNRATE_lag3
BILL_lag2,UNRATE_lag4
BILL_lag2,UNRATE_lag5
BILL_lag2,UNRATE_lag6
BILL_lag2,UNRATE_lag7
BILL_lag2,UNRATE_lag8
BILL_lag2,UNRATE_lag9
BILL_lag2,UNRATE_lag10
BILL_lag3,UNRATE_lag1
BILL_lag3,UNRATE_lag2
BILL_lag3,UNRATE_lag3
BILL_lag3,UNRATE_lag4
BILL_lag3,UNRATE_lag5
BILL_lag3,UNRATE_lag6
BILL_lag3,UNRATE_lag7
BILL_lag3,UNRATE_lag8
BILL_lag3,UNRATE_lag9
BILL_lag3,UNRATE_lag10
BILL_lag4,UNRATE_lag1
BILL_lag4,UNRATE_lag2
BILL_lag4,UNRATE_lag3
BILL_lag4,UNRATE_lag4
BILL_lag4,UNRATE_lag5
BILL_lag4,UNRATE_lag6
BILL_lag4,UNRATE_lag7
BILL_lag4,UNRATE_lag8
BILL_lag4,UNRATE_lag9
BILL_lag4,UNRATE_lag10
BILL_lag5,UNRATE_lag1
BILL_lag5,UNRATE_lag2
BILL_lag5,UNRATE_lag3
BILL_lag5,UNRATE_lag4
BILL_lag5,UNRATE_lag5
BILL_lag5,UNRATE_lag6
BILL_lag5,UNRATE_lag7
BILL_lag5,UNRATE_lag8
BILL_lag5,UNRATE_lag9
BILL_lag5,UNRATE_lag10
BILL_lag6,UNRATE_lag1
BILL_lag6,UNRATE_lag2
BILL_lag6,UNRATE_lag3
BILL_lag6,UNRATE_lag4
BILL_lag6,UNRATE_lag5
BILL_lag6,UNRATE_lag6
BILL_lag6,UNRATE_lag7
BILL_lag6,UNRATE_lag8
BILL_lag6,UNRATE_lag9
BILL_lag6,UNRATE_lag10
