Var1,Var2
SPREAD_lag4,HI_lag9
SPREAD_lag4,HI_lag10
SPREAD_lag4,INDPRO_lag1
SPREAD_lag4,INDPRO_lag2
SPREAD_lag4,INDPRO_lag3
SPREAD_lag4,INDPRO_lag4
SPREAD_lag4,INDPRO_lag5
SPREAD_lag4,INDPRO_lag6
SPREAD_lag4,INDPRO_lag7
SPREAD_lag4,INDPRO_lag8
SPREAD_lag4,INDPRO_lag9
SPREAD_lag4,INDPRO_lag10
SPREAD_lag4,TWD_lag1
SPREAD_lag4,TWD_lag2
SPREAD_lag4,TWD_lag3
SPREAD_lag4,TWD_lag4
SPREAD_lag4,TWD_lag5
SPREAD_lag4,TWD_lag6
SPREAD_lag4,TWD_lag7
SPREAD_lag4,TWD_lag8
SPREAD_lag4,TWD_lag9
SPREAD_lag4,TWD_lag10
SPREAD_lag4,WILL500_lag1
SPREAD_lag4,WILL500_lag2
SPREAD_lag4,WILL500_lag3
SPREAD_lag4,WILL500_lag4
SPREAD_lag4,WILL500_lag5
SPREAD_lag4,WILL500_lag6
SPREAD_lag4,WILL500_lag7
SPREAD_lag4,WILL500_lag8
SPREAD_lag4,WILL500_lag9
SPREAD_lag4,WILL500_lag10
SPREAD_lag4,SP500_lag1
SPREAD_lag4,SP500_lag2
SPREAD_lag4,SP500_lag3
SPREAD_lag4,SP500_lag4
SPREAD_lag4,SP500_lag5
SPREAD_lag4,SP500_lag6
SPREAD_lag4,SP500_lag7
SPREAD_lag4,SP500_lag8
SPREAD_lag4,SP500_lag9
SPREAD_lag4,SP500_lag10
SPREAD_lag4,UNRATE_lag1
SPREAD_lag4,UNRATE_lag2
SPREAD_lag4,UNRATE_lag3
SPREAD_lag4,UNRATE_lag4
SPREAD_lag4,UNRATE_lag5
SPREAD_lag4,UNRATE_lag6
SPREAD_lag4,UNRATE_lag7
SPREAD_lag4,UNRATE_lag8
SPREAD_lag4,UNRATE_lag9
SPREAD_lag4,UNRATE_lag10
SPREAD_lag5,SPREAD_lag6
SPREAD_lag5,SPREAD_lag7
SPREAD_lag5,SPREAD_lag8
SPREAD_lag5,SPREAD_lag9
SPREAD_lag5,SPREAD_lag10
SPREAD_lag5,BILL_lag1
SPREAD_lag5,BILL_lag2
SPREAD_lag5,BILL_lag3
SPREAD_lag5,BILL_lag4
SPREAD_lag5,BILL_lag5
SPREAD_lag5,BILL_lag6
SPREAD_lag5,BILL_lag7
SPREAD_lag5,BILL_lag8
SPREAD_lag5,BILL_lag9
SPREAD_lag5,BILL_lag10
SPREAD_lag5,HI_lag1
SPREAD_lag5,HI_lag2
SPREAD_lag5,HI_lag3
SPREAD_lag5,HI_lag4
SPREAD_lag5,HI_lag5
SPREAD_lag5,HI_lag6
SPREAD_lag5,HI_lag7
SPREAD_lag5,HI_lag8
SPREAD_lag5,HI_lag9
SPREAD_lag5,HI_lag10
SPREAD_lag5,INDPRO_lag1
SPREAD_lag5,INDPRO_lag2
SPREAD_lag5,INDPRO_lag3
SPREAD_lag5,INDPRO_lag4
SPREAD_lag5,INDPRO_lag5
SPREAD_lag5,INDPRO_lag6
SPREAD_lag5,INDPRO_lag7
SPREAD_lag5,INDPRO_lag8
SPREAD_lag5,INDPRO_lag9
SPREAD_lag5,INDPRO_lag10
SPREAD_lag5,TWD_lag1
SPREAD_lag5,TWD_lag2
SPREAD_lag5,TWD_lag3
SPREAD_lag5,TWD_lag4
SPREAD_lag5,TWD_lag5
SPREAD_lag5,TWD_lag6
SPREAD_lag5,TWD_lag7
SPREAD_lag5,TWD_lag8
SPREAD_lag5,TWD_lag9
SPREAD_lag5,TWD_lag10
SPREAD_lag5,WILL500_lag1
SPREAD_lag5,WILL500_lag2
SPREAD_lag5,WILL500_lag3
SPREAD_lag5,WILL500_lag4
SPREAD_lag5,WILL500_lag5
SPREAD_lag5,WILL500_lag6
SPREAD_lag5,WILL500_lag7
SPREAD_lag5,WILL500_lag8
SPREAD_lag5,WILL500_lag9
SPREAD_lag5,WILL500_lag10
SPREAD_lag5,SP500_lag1
SPREAD_lag5,SP500_lag2
SPREAD_lag5,SP500_lag3
SPREAD_lag5,SP500_lag4
SPREAD_lag5,SP500_lag5
SPREAD_lag5,SP500_lag6
SPREAD_lag5,SP500_lag7
SPREAD_lag5,SP500_lag8
SPREAD_lag5,SP500_lag9
SPREAD_lag5,SP500_lag10
SPREAD_lag5,UNRATE_lag1
SPREAD_lag5,UNRATE_lag2
SPREAD_lag5,UNRATE_lag3
SPREAD_lag5,UNRATE_lag4
SPREAD_lag5,UNRATE_lag5
SPREAD_lag5,UNRATE_lag6
SPREAD_lag5,UNRATE_lag7
SPREAD_lag5,UNRATE_lag8
SPREAD_lag5,UNRATE_lag9
SPREAD_lag5,UNRATE_lag10
SPREAD_lag6,SPREAD_lag7
SPREAD_lag6,SPREAD_lag8
SPREAD_lag6,SPREAD_lag9
SPREAD_lag6,SPREAD_lag10
SPREAD_lag6,BILL_lag1
SPREAD_lag6,BILL_lag2
SPREAD_lag6,BILL_lag3
SPREAD_lag6,BILL_lag4
SPREAD_lag6,BILL_lag5
SPREAD_lag6,BILL_lag6
SPREAD_lag6,BILL_lag7
SPREAD_lag6,BILL_lag8
SPREAD_lag6,BILL_lag9
SPREAD_lag6,BILL_lag10
SPREAD_lag6,HI_lag1
SPREAD_lag6,HI_lag2
SPREAD_lag6,HI_lag3
SPREAD_lag6,HI_lag4
SPREAD_lag6,HI_lag5
SPREAD_lag6,HI_lag6
SPREAD_lag6,HI_lag7
SPREAD_lag6,HI_lag8
SPREAD_lag6,HI_lag9
SPREAD_lag6,HI_lag10
SPREAD_lag6,INDPRO_lag1
SPREAD_lag6,INDPRO_lag2
SPREAD_lag6,INDPRO_lag3
SPREAD_lag6,INDPRO_lag4
SPREAD_lag6,INDPRO_lag5
SPREAD_lag6,INDPRO_lag6
SPREAD_lag6,INDPRO_lag7
SPREAD_lag6,INDPRO_lag8
SPREAD_lag6,INDPRO_lag9
SPREAD_lag6,INDPRO_lag10
SPREAD_lag6,TWD_lag1
SPREAD_lag6,TWD_lag2
SPREAD_lag6,TWD_lag3
SPREAD_lag6,TWD_lag4
SPREAD_lag6,TWD_lag5
SPREAD_lag6,TWD_lag6
SPREAD_lag6,TWD_lag7
SPREAD_lag6,TWD_lag8
SPREAD_lag6,TWD_lag9
SPREAD_lag6,TWD_lag10
SPREAD_lag6,WILL500_lag1
SPREAD_lag6,WILL500_lag2
SPREAD_lag6,WILL500_lag3
SPREAD_lag6,WILL500_lag4
SPREAD_lag6,WILL500_lag5
SPREAD_lag6,WILL500_lag6
SPREAD_lag6,WILL500_lag7
SPREAD_lag6,WILL500_lag8
SPREAD_lag6,WILL500_lag9
SPREAD_lag6,WILL500_lag10
SPREAD_lag6,SP500_lag1
SPREAD_lag6,SP500_lag2
SPREAD_lag6,SP500_lag3
SPREAD_lag6,SP500_lag4
SPREAD_lag6,SP500_lag5
SPREAD_lag6,SP500_lag6
SPREAD_lag6,SP500_lag7
SPREAD_lag6,SP500_lag8
SPREAD_lag6,SP500_lag9
SPREAD_lag6,SP500_lag10
SPREAD_lag6,UNRATE_lag1
SPREAD_lag6,UNRATE_lag2
SPREAD_lag6,UNRATE_lag3
SPREAD_lag6,UNRATE_lag4
SPREAD_lag6,UNRATE_lag5
SPREAD_lag6,UNRATE_lag6
SPREAD_lag6,UNRATE_lag7
SPREAD_lag6,UNRATE_lag8
SPREAD_lag6,UNRATE_lag9
SPREAD_lag6,UNRATE_lag10
SPREAD_lag7,SPREAD_lag8
SPREAD_lag7,SPREAD_lag9
SPREAD_lag7,SPREAD_lag10
SPREAD_lag7,BILL_lag1
SPREAD_lag7,BILL_lag2
SPREAD_lag7,BILL_lag3
SPREAD_lag7,BILL_lag4
SPREAD_lag7,BILL_lag5
SPREAD_lag7,BILL_lag6
SPREAD_lag7,BILL_lag7
SPREAD_lag7,BILL_lag8
SPREAD_lag7,BILL_lag9
SPREAD_lag7,BILL_lag10
SPREAD_lag7,HI_lag1
SPREAD_lag7,HI_lag2
SPREAD_lag7,HI_lag3
SPREAD_lag7,HI_lag4
SPREAD_lag7,HI_lag5
SPREAD_lag7,HI_lag6
SPREAD_lag7,HI_lag7
SPREAD_lag7,HI_lag8
SPREAD_lag7,HI_lag9
SPREAD_lag7,HI_lag10
SPREAD_lag7,INDPRO_lag1
SPREAD_lag7,INDPRO_lag2
SPREAD_lag7,INDPRO_lag3
SPREAD_lag7,INDPRO_lag4
SPREAD_lag7,INDPRO_lag5
SPREAD_lag7,INDPRO_lag6
SPREAD_lag7,INDPRO_lag7
SPREAD_lag7,INDPRO_lag8
SPREAD_lag7,INDPRO_lag9
SPREAD_lag7,INDPRO_lag10
SPREAD_lag7,TWD_lag1
SPREAD_lag7,TWD_lag2
SPREAD_lag7,TWD_lag3
SPREAD_lag7,TWD_lag4
SPREAD_lag7,TWD_lag5
SPREAD_lag7,TWD_lag6
SPREAD_lag7,TWD_lag7
SPREAD_lag7,TWD_lag8
SPREAD_lag7,TWD_lag9
SPREAD_lag7,TWD_lag10
SPREAD_lag7,WILL500_lag1
SPREAD_lag7,WILL500_lag2
SPREAD_lag7,WILL500_lag3
SPREAD_lag7,WILL500_lag4
SPREAD_lag7,WILL500_lag5
SPREAD_lag7,WILL500_lag6
SPREAD_lag7,WILL500_lag7
SPREAD_lag7,WILL500_lag8
SPREAD_lag7,WILL500_lag9
SPREAD_lag7,WILL500_lag10
SPREAD_lag7,SP500_lag1
SPREAD_lag7,SP500_lag2
SPREAD_lag7,SP500_lag3
SPREAD_lag7,SP500_lag4
SPREAD_lag7,SP500_lag5
SPREAD_lag7,SP500_lag6
SPREAD_lag7,SP500_lag7
SPREAD_lag7,SP500_lag8
SPREAD_lag7,SP500_lag9
SPREAD_lag7,SP500_lag10
SPREAD_lag7,UNRATE_lag1
SPREAD_lag7,UNRATE_lag2
SPREAD_lag7,UNRATE_lag3
SPREAD_lag7,UNRATE_lag4
SPREAD_lag7,UNRATE_lag5
SPREAD_lag7,UNRATE_lag6
SPREAD_lag7,UNRATE_lag7
SPREAD_lag7,UNRATE_lag8
SPREAD_lag7,UNRATE_lag9
SPREAD_lag7,UNRATE_lag10
SPREAD_lag8,SPREAD_lag9
SPREAD_lag8,SPREAD_lag10
SPREAD_lag8,BILL_lag1
SPREAD_lag8,BILL_lag2
SPREAD_lag8,BILL_lag3
SPREAD_lag8,BILL_lag4
SPREAD_lag8,BILL_lag5
SPREAD_lag8,BILL_lag6
SPREAD_lag8,BILL_lag7
SPREAD_lag8,BILL_lag8
SPREAD_lag8,BILL_lag9
SPREAD_lag8,BILL_lag10
SPREAD_lag8,HI_lag1
SPREAD_lag8,HI_lag2
SPREAD_lag8,HI_lag3
SPREAD_lag8,HI_lag4
SPREAD_lag8,HI_lag5
SPREAD_lag8,HI_lag6
SPREAD_lag8,HI_lag7
SPREAD_lag8,HI_lag8
SPREAD_lag8,HI_lag9
SPREAD_lag8,HI_lag10
SPREAD_lag8,INDPRO_lag1
SPREAD_lag8,INDPRO_lag2
SPREAD_lag8,INDPRO_lag3
SPREAD_lag8,INDPRO_lag4
SPREAD_lag8,INDPRO_lag5
SPREAD_lag8,INDPRO_lag6
SPREAD_lag8,INDPRO_lag7
SPREAD_lag8,INDPRO_lag8
SPREAD_lag8,INDPRO_lag9
SPREAD_lag8,INDPRO_lag10
SPREAD_lag8,TWD_lag1
SPREAD_lag8,TWD_lag2
SPREAD_lag8,TWD_lag3
SPREAD_lag8,TWD_lag4
SPREAD_lag8,TWD_lag5
SPREAD_lag8,TWD_lag6
SPREAD_lag8,TWD_lag7
SPREAD_lag8,TWD_lag8
SPREAD_lag8,TWD_lag9
SPREAD_lag8,TWD_lag10
SPREAD_lag8,WILL500_lag1
SPREAD_lag8,WILL500_lag2
SPREAD_lag8,WILL500_lag3
SPREAD_lag8,WILL500_lag4
SPREAD_lag8,WILL500_lag5
SPREAD_lag8,WILL500_lag6
SPREAD_lag8,WILL500_lag7
SPREAD_lag8,WILL500_lag8
SPREAD_lag8,WILL500_lag9
SPREAD_lag8,WILL500_lag10
SPREAD_lag8,SP500_lag1
SPREAD_lag8,SP500_lag2
SPREAD_lag8,SP500_lag3
SPREAD_lag8,SP500_lag4
SPREAD_lag8,SP500_lag5
SPREAD_lag8,SP500_lag6
SPREAD_lag8,SP500_lag7
SPREAD_lag8,SP500_lag8
SPREAD_lag8,SP500_lag9
SPREAD_lag8,SP500_lag10
SPREAD_lag8,UNRATE_lag1
SPREAD_lag8,UNRATE_lag2
SPREAD_lag8,UNRATE_lag3
SPREAD_lag8,UNRATE_lag4
SPREAD_lag8,UNRATE_lag5
SPREAD_lag8,UNRATE_lag6
SPREAD_lag8,UNRATE_lag7
SPREAD_lag8,UNRATE_lag8
SPREAD_lag8,UNRATE_lag9
SPREAD_lag8,UNRATE_lag10
SPREAD_lag9,SPREAD_lag10
SPREAD_lag9,BILL_lag1
SPREAD_lag9,BILL_lag2
SPREAD_lag9,BILL_lag3
SPREAD_lag9,BILL_lag4
SPREAD_lag9,BILL_lag5
SPREAD_lag9,BILL_lag6
SPREAD_lag9,BILL_lag7
SPREAD_lag9,BILL_lag8
SPREAD_lag9,BILL_lag9
SPREAD_lag9,BILL_lag10
SPREAD_lag9,HI_lag1
SPREAD_lag9,HI_lag2
SPREAD_lag9,HI_lag3
SPREAD_lag9,HI_lag4
SPREAD_lag9,HI_lag5
SPREAD_lag9,HI_lag6
SPREAD_lag9,HI_lag7
SPREAD_lag9,HI_lag8
SPREAD_lag9,HI_lag9
SPREAD_lag9,HI_lag10
SPREAD_lag9,INDPRO_lag1
SPREAD_lag9,INDPRO_lag2
SPREAD_lag9,INDPRO_lag3
SPREAD_lag9,INDPRO_lag4
SPREAD_lag9,INDPRO_lag5
SPREAD_lag9,INDPRO_lag6
SPREAD_lag9,INDPRO_lag7
SPREAD_lag9,INDPRO_lag8
SPREAD_lag9,INDPRO_lag9
SPREAD_lag9,INDPRO_lag10
SPREAD_lag9,TWD_lag1
SPREAD_lag9,TWD_lag2
SPREAD_lag9,TWD_lag3
SPREAD_lag9,TWD_lag4
SPREAD_lag9,TWD_lag5
SPREAD_lag9,TWD_lag6
SPREAD_lag9,TWD_lag7
SPREAD_lag9,TWD_lag8
SPREAD_lag9,TWD_lag9
SPREAD_lag9,TWD_lag10
SPREAD_lag9,WILL500_lag1
SPREAD_lag9,WILL500_lag2
SPREAD_lag9,WILL500_lag3
SPREAD_lag9,WILL500_lag4
SPREAD_lag9,WILL500_lag5
SPREAD_lag9,WILL500_lag6
SPREAD_lag9,WILL500_lag7
SPREAD_lag9,WILL500_lag8
SPREAD_lag9,WILL500_lag9
SPREAD_lag9,WILL500_lag10
SPREAD_lag9,SP500_lag1
SPREAD_lag9,SP500_lag2
SPREAD_lag9,SP500_lag3
SPREAD_lag9,SP500_lag4
SPREAD_lag9,SP500_lag5
SPREAD_lag9,SP500_lag6
SPREAD_lag9,SP500_lag7
SPREAD_lag9,SP500_lag8
SPREAD_lag9,SP500_lag9
SPREAD_lag9,SP500_lag10
SPREAD_lag9,UNRATE_lag1
SPREAD_lag9,UNRATE_lag2
SPREAD_lag9,UNRATE_lag3
SPREAD_lag9,UNRATE_lag4
SPREAD_lag9,UNRATE_lag5
SPREAD_lag9,UNRATE_lag6
SPREAD_lag9,UNRATE_lag7
SPREAD_lag9,UNRATE_lag8
SPREAD_lag9,UNRATE_lag9
SPREAD_lag9,UNRATE_lag10
SPREAD_lag10,BILL_lag1
SPREAD_lag10,BILL_lag2
SPREAD_lag10,BILL_lag3
SPREAD_lag10,BILL_lag4
SPREAD_lag10,BILL_lag5
SPREAD_lag10,BILL_lag6
SPREAD_lag10,BILL_lag7
SPREAD_lag10,BILL_lag8
SPREAD_lag10,BILL_lag9
SPREAD_lag10,BILL_lag10
SPREAD_lag10,HI_lag1
SPREAD_lag10,HI_lag2
SPREAD_lag10,HI_lag3
SPREAD_lag10,HI_lag4
SPREAD_lag10,HI_lag5
SPREAD_lag10,HI_lag6
SPREAD_lag10,HI_lag7
SPREAD_lag10,HI_lag8
SPREAD_lag10,HI_lag9
SPREAD_lag10,HI_lag10
SPREAD_lag10,INDPRO_lag1
SPREAD_lag10,INDPRO_lag2
SPREAD_lag10,INDPRO_lag3
SPREAD_lag10,INDPRO_lag4
SPREAD_lag10,INDPRO_lag5
SPREAD_lag10,INDPRO_lag6
SPREAD_lag10,INDPRO_lag7
SPREAD_lag10,INDPRO_lag8
SPREAD_lag10,INDPRO_lag9
SPREAD_lag10,INDPRO_lag10
SPREAD_lag10,TWD_lag1
SPREAD_lag10,TWD_lag2
SPREAD_lag10,TWD_lag3
SPREAD_lag10,TWD_lag4
SPREAD_lag10,TWD_lag5
SPREAD_lag10,TWD_lag6
SPREAD_lag10,TWD_lag7
SPREAD_lag10,TWD_lag8
SPREAD_lag10,TWD_lag9
SPREAD_lag10,TWD_lag10
SPREAD_lag10,WILL500_lag1
SPREAD_lag10,WILL500_lag2
SPREAD_lag10,WILL500_lag3
SPREAD_lag10,WILL500_lag4
SPREAD_lag10,WILL500_lag5
SPREAD_lag10,WILL500_lag6
SPREAD_lag10,WILL500_lag7
SPREAD_lag10,WILL500_lag8
SPREAD_lag10,WILL500_lag9
SPREAD_lag10,WILL500_lag10
SPREAD_lag10,SP500_lag1
SPREAD_lag10,SP500_lag2
SPREAD_lag10,SP500_lag3
SPREAD_lag10,SP500_lag4
SPREAD_lag10,SP500_lag5
SPREAD_lag10,SP500_lag6
SPREAD_lag10,SP500_lag7
SPREAD_lag10,SP500_lag8
SPREAD_lag10,SP500_lag9
SPREAD_lag10,SP500_lag10
SPREAD_lag10,UNRATE_lag1
SPREAD_lag10,UNRATE_lag2
SPREAD_lag10,UNRATE_lag3
SPREAD_lag10,UNRATE_lag4
SPREAD_lag10,UNRATE_lag5
SPREAD_lag10,UNRATE_lag6
SPREAD_lag10,UNRATE_lag7
SPREAD_lag10,UNRATE_lag8
SPREAD_lag10,UNRATE_lag9
SPREAD_lag10,UNRATE_lag10
